Id,Comment,"{Aspect category,   Sentiment Polarity}",review_en
35,"শিজলিংটার সেই টেস্ট  ,  গরম গরম র ফ্রেশ সার্ভ করেছিল","{food,   positive},   {service,   positive}","That test of Schizlingter, served hot and fresh"
36,দাম আবার এত্তো বেশি কিন্তু এরচেয়ে রাস্তার বার্গার ভাল,"{price,   negative},   {food,   positive}",The price is still high but the street burgers are better
37,খাবার ঠান্ডা ছিল । তার উপর ১ ঘন্টা+ ওয়েট করাইছে ।,"{food,   negative},   {service,   negative}",The food was cold. Waited 1 hour+ on it.
38,একটা আইটেম মিসিং ছিল। খাবারের টেস্টও সাদামাটা।,"{food,   negative},   {food,   negative}",An item was missing. The food test is also simple.
39," বিল দিয়ে বাজে খাবার খেয়ে আসছি ,  চিকেন ফ্রাই এ আদার গন্ধ।","{price,   negative},   {food,   negative}","I have been eating bad food with the bill, the smell of ginger in chicken fry."
40,"এত টাইম নিলো খাবার আনতে, তাও বাসি খাবার খাইয়ে দিল!","{service,   negative}, {food,   negative}","Took so much time to bring food, but also fed stale food!"
41,মাংসের ছিটেফোটাও ছিল না। আবার দাম নাকি এত্তো!,"{food,   negative},   {price,   negative}",There was not even a speck of flesh. Again the price is so much!
42,সাব-স্যন্ডুইচ টাও খুব ভাল ছিল প্রাইজ হিসাবে। পরিবেশ  সব মিলায় আলহামদুলিল্লাহ খুব ভাল।,"{price,   positive},   {ambiance,   positive}",The sub sandwich was also very good as a prize. Alhamdulillah the environment is very good.
43,বার্গার এর সব কিছু অনেক টেস্টটি ছিল এবং দামও রিজিনাবাল।,"{food,   positive},   {price,   positive}",All of the burgers were very tasty and the prices were reasonable.
44,"বিবিকিউ মোমো অনেক জোস ছিল ,   দামও রিজিনাবাল ছিল","{food,   positive},   {price,   positive}","The BBQ Momo was very juicy, and the price was reasonable"
45,স্বাদে অ্যাভারেজ এবং তাদের পরিবেশন টাও ছিলো অসাধারণ।,"{food,   neutral},   {service,   positive}",Average in taste and their serving was awesome too.
46,খাবারের মান যথেষ্ট ভালো ছিল এবং দাম কম।,"{food,   positive},   {price,   positive}",The quality of the food was quite good and the price was low.
47,পুরা বিরিয়ানি ই ঠান্ডা ছিল। আবার দাম নাকি এত্তো!,"{food,   negative},   {price,   negative}",The whole biryani was cold. Again the price is so much!
48,খাবারটি অত্যন্ত সুস্বাদু ছিল  কিন্তু  দাম বেশি ছিল |,"{food,   positive},   {miscellaneous,   negative}",The food was very tasty but the price was high
49,ব্যবহার মোটামুটি ভাল ছিল কিন্তু খাবার  নিয়ে খুবই হতাশ হয়েছি।,"{service,   positive},  {food,   negative}",Experience was fairly good but very disappointed with the food.
50,মাংসের স্লাইসও ছিল বেশ পাতলা কিন্তু দাম আকাশচুৃম্বী,"{food,   positive},   {miscellaneous,   negative}",The meat slices were also quite thin but the price was sky high
51,জঘন্য হালিম এবং পরিবেশ নোংরা ।,"{food,   negative},   {ambiance,   negative}",Disgusting Halim and the environment is dirty.
52,এই সুপ খেয়ে সেই মজা লাগল। চিকেন আর মাশরুমের পরিমাণ অনেক ভালো ছিল।,"{food,   positive},{food,   positive}",I enjoyed eating this soup. The amount of chicken and mushroom was very good.
53,"পিজ্জাটা সেই লাগল, দোকানটাও অনেক ক্লিন লাগল।","{food,   positive}, {service,   negative}","The pizza was like that, the shop was also very clean."
54,"হালিমটা এক কথায় অসাধারণ ছিল ,  আমি ভক্ত হইয়া গেসিলাম।","{food,   positive},   {miscellaneous,   positive}","Halim was in one word amazing, I became a fan."
55,বুফের খাবারের কোয়ালিটি অনেক ভালো। আর ইনটেরিওরও বেশ সুন্দর।,"{food,   positive},  {miscellaneous,   positive}",The buffet food quality is very good. And the interior is also very beautiful.
56,সব খাবারেরই দাম  বেশ রিজিনেবল ছিল। আর ইনটেরিওরও বেশ সুন্দর।,"{price,  positive},  {ambiance,  positive}",All the dishes were very reasonably priced. And the interior is also very beautiful.
57,সত্যিকার অর্থে গরুর চাপের স্বাদটা মুখে লেগে থাকার মতন আর তাদের সার্ভিসও অনেক ফাস্ট ছিল।,"{food,   positive},  {service,   positive}",The taste of cow pressure is really mouth-watering and their service was also very fast.
58,খেতে ভাল ছিল আর সার্ভিসের কথা বললে আমি সন্তুষ্ট।,"{food,   positive},  {service,   positive}",The food was good and I am satisfied with the service.
59,সার্ভিস ভালই ছিল কিন্তু চুই ঝাল খারাপ এদেরটা।,"{service,   positive},  {food,   negative}",The service was good but they are bad.
60,নেহারিটা খুবই মজার কিন্তু পরিবেশটা অসুন্দর।,"{food,   positive},   {ambiance,   negative}",Nehari is very interesting but the environment is not good.
61,ওনাদের  সার্ভিস অসাধারণ ছিলো কিন্তু স্বাদের ব্যাপারে আরো অনেক বেশি মনোযোগী হতে হবে।,"{service,   positive},  {food,   negative}",Their service was excellent but they need to pay more attention to the taste.
62,রাইসটা অনেক ফ্লেভারফুল তবে তাদের সার্ভিসও ভাল লাগেনি।,"{food,   positive},  {service,   negative}",The rice is very flavorful but their service was not good either.
63,"বেশ মজাদার খাবার ছিল, আর স্টাফদের ব্যবহারও ভালো।","{food,   positive},   {service,   negative}","The food was very tasty, and the staff were very nice."
64,"খাবারের টেস্ট অসাধারণ ,  সার্ভিস  বেশ ভাল।","{food,   positive},  {service,   positive}","The taste of the food is excellent, the service is very good."
65,সাইড ডিশগুলা তেমন ভাল লাগে নাই তবে সার্ভিস বেশ ভালো।,"{food,   positive},  {service,   positive}",The side dishes are not very good but the service is good.
66,টেস্ট মোটামুটি ছিল বাট তাদের সার্ভিসও ভাল লাগেনি।,"{food,   negative},  {service,   negative}",The test was fair but their service was not good.
67,তাদের সার্ভিস দারুণ এবং খাবারের মান বেশ ভালো।,"{service,   positive},  {food,   positive}",Their service is great and food quality is good.
68,বেস্ট চিকেন চাপ। দাম ১২০ টাকা আমার কাছে ঠিকই মনে হল।,"{food,   positive},  {price,  positive}",Best Chicken Pressure. The price of 120 rupees seemed right to me.
69,"খাবারের টেস্ট অসাধারণ ,   ইনটেরিওর বেশ ভাল।","{food,   positive},  {ambiance,   positive}","Food taste great, interior is good."
70,বারবিকিউ বেশ মজার ছিল। দামটা একটু বেশি লাগলো।,"{food,   positive},  {price,  negative}",The barbecue was quite fun. The price was a bit high.
71,খাবারের দাম বেশি হলেও মান ভালো ছিলো না।,"{price,   negative},   {food,   negative}",The price of food was high but the quality was not good.
72,খাবার বাজে ছিলো এবং সার্ভিস তার থেকেও বাজে ছিলো।,"{food,   negative},  {service,   negative}",The food was bad and the service even worse.
73,খাবার ভালো তবে পরিবেশটা পছন্দ হয়নি।,"{food,  positive},  {ambiance,  negative}",Food is good but environment is not liked.
74,খুব ভালো দাম এবং পরিবেশও ভালো।,"{price,  positive},  {ambiance,  positive}",Very good prices and good environment too.
75,উনাদের ব্যবহারে মুগ্ধ এবং খাবারের মানেও মুগ্ধ।,"{service,   positive},  {food,   positive}",Impressed with their use and also impressed with the quality of the food.
76,খাবারের মান ভালো কিন্তু পরিবার নিয়ে যাবার মত জায়গা না।,"{food,  positive},  {ambiance,  negative}",Food quality is good but not a family friendly place.
77,আমার জীবনে এতো ভালো কাচ্চি খাই নাই যদিও দামটা বেশি।,"{food,   positive},  {price,  negative}",I have never eaten such good kachchi in my life even though the price is high.
78,রেস্টুরেন্টা ছোট কিন্তু  দাম বেশি।,"{ambiance,  negative},  {price,   negative}",The restaurant is small but expensive.
79,পরিবেশও বাজে এবং খাবারও বাজে।,"{ambiance,  negative},  {food,   negative}",The environment is bad and the food is also bad.
80,অমৃত স্বাদ কিন্তু দামটা একটু বেশি।,"{food,   positive},  {price,  negative}",Amrit taste but the price is a bit high.
81,মাংস এর পরিমান বেশি ছিলো না কিন্তু দামওতো কম।,"{food,  negative},  {price,   negative}",The quantity of meat was not high but the price was also low.
82,শান্ত জায়গা এবং সার্ভিসও ভালো।,"{ambiance,  positive},  {service,   positive}",Quiet place and good service.
83,ইলিশভাজাটা সেই এবং দামও সাধ্যের মধ্যে।,"{food,   positive},  {price,   positive}",Ilhasvajata is the same and the price is affordable.
84,ফ্রাইড রাইসটা ভালো লাগলো তবে দাম প্রয়োজনের তুলনায় বেশি।,"{food,   positive},  {price,   negative}",The fried rice was good but the price was more than necessary.
85,দাম বেড়েছে এবং তার সাথে স্বাদও বেড়েছে।,"{price,   negative},  {food,   positive}",The price has gone up and so has the taste.
86,ক্রিমসনকাপের পরিবেশও  জোস এবং কফিও জোস।,"{ambiance,  positive},  {food,   positive}",CrimsonCup's atmosphere is also joss and coffee is joss.
87,কফিটা বেশি স্ট্রং ছিলো যা আমার পছন্দ না এবং দামও বেশি।,"{food,  negative},   {price,   negative}",The coffee was too strong which I didn't like and the price was high.
88,একই প্রাইস রেঞ্জে অনেক আইটেম আছে যেটা ভালো এবং পরিবেশও মোটামুটি।,"{miscellaneous,   positive},  {ambiance,  neutral}",There are many items in the same price range that are good and the environment is also fair.
89,প্যানকেকটা বেশি ভালো ছিলো এবং তারা খুবই তাড়াতাড়ি সার্ভ করতে পারছিলো।,"{food,   positive},  {service,   positive}",The pancake was better and they served very quickly.
90,৩০০ টাকার বাজেট ছিলো কিন্তু সেরা স্বাদের খাবার পেলাম না এখানে।,"{price,   negative},  {food,  negative}",I had a budget of 300 rupees but did not get the best tasting food here.
91,দাম অনেক বেশি এবং পরিবেশও অনেক হাইফাই।,"{price,   negative},  {ambiance,  positive}",The prices are high and the atmosphere is very hifi.
92,খাবারের মানও বাজে এবং দামও বাজে।,"{food,  negative},  {price,   negative}",The quality of the food is bad and the price is also bad.
93,বাচ্চাদের খেলার জায়গা আছে এবং তাদের জন্য ভালো খাবারও আছে।,"{ambiance,  positive},  {food,   positive}",There is a place for kids to play and good food for them too.
94,লাচ্চিটার স্বাদ বলার মত না কিন্তু রেস্টুরেন্টের পরিবেশটা ভালো লাগ্লো না।,"{food,   positive},  {ambiance,  negative}",The taste of lacchita is not good but the atmosphere of the restaurant is not good.
95,দাম বাড়লো ঠিকই কিন্তু স্বাদ একই আছে।,"{price,   negative},  {food,   neutral}",The price has increased but the taste remains the same.
96,মনের মত স্বাদ পেলাম না কিন্তু সার্ভিস ভালো ছিলো।,"{food,  negative},  {service,   positive}",I didn't like the taste but the service was good.
97,কম দামের মাঝে যে ভালো খাবার পাওয়া যায় আজকে দেখলাম এবং পরিবেশও ভালো।,"{price,   positive},  {ambiance,  positive}",I saw today that good food is available at low prices and the environment is also good.
98,দাম কম খাবারের কিন্তু খাবারটা যে বাশি তাতে আমার সন্দেহ নেই।,"{price,   positive},  {food,  negative}",The food is cheap but I have no doubt that the food is stale.
99,এতো বেশি স্বাদের ভর্তা আমি আগে খাইনি এবং দামও কম।,"{food,   positive},  {price,   positive}",I haven't eaten bharta with so much flavor before and the price is also low.
100,সি ফুডের স্বাদ ভালো ছিলো কিন্তু প্লেটের মধ্যে পরিবেষন স্টাইল আমার ভালো লাগেনি।,"{food,   positive},  {miscellaneous,   negative}",The seafood taste was good but I didn't like the presentation style in the plate.
101,লাজানিয়া এর দাম বেশি কিন্তু খেতে একদম জাউভাতের মত লাগলো।,"{price,   negative},  {food,  negative}","The price of lasagna is high, but it tasted like a piece of bread."
102,খাবারের দাম তুলনামূলক কম এবং অন্যান্য জায়গা থেকে  পরিমানে বেশি।,"{price,   positive},  {miscellaneous,   positive}",Food prices are relatively low and relatively higher than other places.
103,চিকেন কর্ন স্যুপে শুধু চিকেন আর কর্নই মুখে পড়লো এবং দামও তেমন বেশি না।,"{food,   positive},  {price,   positive}",Chicken Corn Soup is just chicken and corn and the price is not that high.
104,খাবারের দাম রিসোনেবল না কিন্তু সার্ভিসে সন্তুষ্ট হয়েছি।,"{price,   negative},  {service,   positive}",The price of the food is not reasonable but I am satisfied with the service.
105,আড্ডা দেবার জন্য ভালো পরিবেশ কিন্তু খাবারের দাম অনেক বেশি।,"{ambiance,  positive},  {price,   negative}",Good atmosphere to hangout but food price is high.
106,এতো ফ্রেন্ডলি সার্ভিস আগে উপভোগ করিনি যদিও খাবারের মান এতো ভালো ছিলো না।,"{service,   positive},  {food,  negative}",Never experienced such friendly service before though food quality was not so good.
107,চিকেন পিজ্জার দাম অনেক বেশি কিন্তু তাতে তেমন বেশি চিকেন খুজেই পেলাম না।,"{price,   negative},  {food,  negative}",The price of chicken pizza is very high but I didn't find much chicken in it.
108,সেরা সেট মেনু কিন্তু রেস্টুরেন্টে জায়গার অভাব অনেক।,"{price,   positive},  {ambiance,  negative}",Best set menu but lack of space in restaurant.
109,কাচ্চির কোয়ালিটি ভালো কিন্তু ডেলিভারিতে অনেক সময় ব্যয় হয়েছে তাদের।,"{food,   positive},  {service,   negative}",The quality of kacchi is good but they took a lot of time in delivery.
110,বার্গারের দাম বেশি কিন্তু মাংসের পরিমান অনেক কম ছিলো।,"{price,   negative},  {food,  negative}",The price of the burger was high but the amount of meat was very low.
111,রেস্টুরেন্টার লোকেশন ভালো এবং দামও কম খাবারের।,"{miscellaneous,   positive},  {price,   positive}",The location of the restaurant is good and the price of the food is also low.
112,সার্ভিস ভালো ছিলো কিন্তু এতো মশাপুর্ণ রেস্টুরেন্ট আগে দেখিনি।,"{service,   positive},  {ambiance,  negative}",The service was good but I have never seen a restaurant so full of mosquitoes.
113,খাবারগুলো দেখে রুচি আসলো না যদিও দাম অনেক বেশি।,"{food,  negative},  {price,   negative}",The food was not tasty though the prices were high.
114,সালাদের দাম অনেক কম কিন্তু এর কোয়ালিটি অসাধারন।,"{price,   positive},  {food,   positive}",The price of the salad is very low but the quality is amazing.
115,কেকের স্বাদ অনেক ভালো এবং পার্টির জন্য পরিবেশটাও সুন্দর অনেক।,"{food,   positive},  {ambiance,  positive}",The cake tastes very good and the atmosphere for the party is also very nice.
116,খাবারের দাম বেশি না এবং পরিবারকে নিয়ে খাবারের জন্য ভালো পরিবেশও আছে।,"{price,   positive},  {ambiance,  positive}",The food is not expensive and there is a good atmosphere for dining with the family.
117,দাম কম কিন্তু পরিবেশের জন্য বেশি কাস্টোমার নেই যা বুঝা গেলো।,"{price,   positive},  {ambiance,  negative}",The price is low but not many customers for the environment which is understandable.
118,হাালিমের মধ্যে একদম মাংস নেই এবং দামও অনেক চওড়া অন্যান্য জায়গা থেকে।,"{food,  negative},  {price,   negative}",There is no meat in the haleem and the price is much higher than other places.
119,নানরুটিতে বাটার অনেক বেশি যা স্বাদ আরো বাড়িয়ে দিয়েছে কিন্তু রুটি বানানোর জায়গাটা অপরিষ্কার।,"{food,   positive},  {ambiance,   negative}",Nanroti has a lot of butter which adds to the taste but the place where the bread is made is unclean.
120,স্টেক খেয়ে অনেক ভালো লাগ্লো কিন্তু দামটা অনেক বেশি ছিলো।,"{food,   positive},  {price,   negative}",The steak was very good but the price was too high.
121,বিরিয়ানিটা মোটামুটি ছিলো কিন্তু দামের অনুপাতে ভালোই লাগ্লো।,"{food,   neutral},  {price,   positive}",Biryani was average but good value for money.
122,সব আইটেমের দাম সাধারন এবং স্বাদ সাধারন,"{price,   positive},  {food,   positive}",All items are priced normally and taste normal
123,দাম মাত্র ৭০ টাকা কিন্তু নিহারির স্বাদ অনেক বেশি জোস।,"{price,   positive},  {food,   positive}",The price is only 70 rupees but the taste of nihari is very juicy.
124,বটের পরিমান এই রেস্টুরেন্ট থেকে বেশি কিন্তু এখানে পরিচ্ছন্নতার ব্যাপারটা ভালো লাগ্লো।,"{food,  negative},  {ambiance,  positive}",The amount of bot is more than this restaurant but the cleanliness here is good.
125,দাম বেশি কিন্তু কাকড়া খাইতে মজা না।,"{price,   negative},  {food,  negative}",The price is high but eating crab is not fun.
126,মোগালাইতে ডিমের পরিমান অনেক বেশি দেয়া হয়েছে এবং দামও মোটামুটি।,"{food,   positive},  {price,   neutral}",The quantity of eggs offered in Mogalai is very high and the price is also fair.
127,চিংড়ি এর সাইজ অনেক ছোট কিন্তু দামটা বেশি।,"{food,  negative},  {price,   negative}",The size of shrimp is very small but the price is high.
128,অক্টোপাসের বার্বিকিউটা খেতে ভালো লেগেছে যদিও দামটা বেশি ছিলো।,"{food,   positive},  {price,   negative}",Loved eating the octopus barbeque although the price was high.
129,কালাভুনাটা না খাইলে আসলেই মিস এবং দামও মোটামুটি।,"{food,   positive},  {price,   neutral}","If you don't eat kalavunata, it's really a miss and the price is also reasonable."
130,ডেসার্ট এর পোর্শনটা ভালো ছিলো এবং  স্বাদ অসাধারন ছিলো।,"{food,   positive},   {food,   positive}",The portion of the dessert was good and the taste was amazing.
131,ইফতারের প্ল্যাটার যেমন খাইতে বাজে এবং দামও বেশি।,"{food,  negative},  {price,   negative}",Iftar platters are as bad to eat and expensive too.
132,মেন্যুর ছবির সাথে খাবারে কোন মিল পেলাম না এবং সার্ভিসও ছিলো মোটামুটি।,"{food,  negative},  {service,   neutral}",The food did not match the picture on the menu and the service was also average.
133,মাছগুলো পচা ছিলো এবং  দাম কমিয়ে দিয়েছে তারা।,"{food,  negative},   {price,   positive}",The fish was rotten and they reduced the price.
134,চিংড়ি মাছটাকে ভালো করে পরিষ্কার করা হয়নি  এবং চারপাশে খুব বাজে দুর্গন্ধও আসছিলো।,"{food,  negative},  {ambiance,  negative}",The prawns were not cleaned properly and there was a very bad smell around.
135,মাশরুম রাইসে কোন মাশরুম ছিলো না বললেই চলে এবং সার্ভিসও অনেক স্লো।,"{food,  negative},  {service,   negative}",There was no mushroom in the mushroom rice and the service was very slow.
136,ক্লিনিং এর ব্যাপারে একদম উদাসীন স্টাফ এবং খাবারের কোয়ালিটিও অনেক বাজে।,"{service,   negative},  {food,  negative}",Very indifferent staff about cleaning and food quality is also very bad.
137,অনেক বাজে সার্ভিস এবং বাচ্চাদের উপযোগী রেস্টুরেন্ট নয় এটি।,"{service,   negative},  {ambiance,  negative}",Very poor service and not a kid friendly restaurant.
138,আলুপুড়িতে আলুর পরিমান বেশি ছিলো কিন্তু দাম অন্যান্য দোকানের মতই সাধারন ছিলো।,"{food,   positive},  {price,   neutral}","At Alupuri, the quantity of potatoes was high but the price was normal like other shops."
139,দাম কম এবং স্বাদও ভালো।,"{price,   negative},  {food,   positive}",The price is low and the taste is good.
140,চাওমিনে চিকেনের সাইজগুলো ভালো ছিলো এবং সাথে স্বাদও ভালো।,"{food,   positive},  {food,   positive}",The chaomin chicken sizes were good and tasted good too.
141,এত্তো কম দাম এবং স্বাদও মোটামুটি।,"{price,   positive},  {food,   neutral}",The price is so low and the taste is just right.
142,কেকের দাম প্রতি কেজিতে কম হলেও স্বাদ  খারাপ না।,"{price,   positive},  {food,   neutral}",The price of the cake per kg is less but the taste is not bad.
143,চিকেন রোল্টার স্বাদ ভালো কিন্তু দামটা একটু বেশি।,"{food,   positive},  {price,   negative}",Chicken Rolta tastes good but the price is a bit high.
144,পাকোড়া এর দাম মাত্র ১৫ টাকা কিন্তু  স্বাদতো অনেক বেশি ভালো।,"{price,   positive},  {food,   positive}",The price of pakora is only 15 rupees but the taste is much better.
145,পোলাও খেয়ে তৃপ্তি পেলাম এবং দামও মোটামুটি বেশি ছিলো না।,"{food,   positive},  {price,   neutral}",I was satisfied with Polao and the price was not too high.
146,ডালপুড়িতে স্বাদ নেই যদিও  সাইজ বড় ।,"{food,  negative},  {miscellaneous,   positive}",The stalks are tasteless though large in size.
147,সিঙারাতে কলিজার পরিমান ভালো এবং দামও বেশি না।,"{food,   positive},  {price,   positive}",Singarat has a good quantity of cholera and the price is not too high.
148,১৫০ টাকাতে ৬ পিছ গরুর মাংস এবং স্বাদও চরম ভালো।,"{price,   positive},  {food,   positive}",6 back beef for 150 taka and the taste is also very good.
149,সুজন মামার টর্নেডো চিপ্সের দাম ২০ টাকা হলেও স্বাদ  অনেক বেশি ভালো।,"{price,   positive},  {food,   positive}",Sujan Mama's Tornado Chips cost 20 rupees but the taste is much better.
150,দাম এখানে মোটামুটি এবং সেট মেন্যু এর কোয়ালিটিও ভালো লাগ্লো।,"{price,   neutral},  {food,   positive}",The prices here are reasonable and the quality of the set menu is also good.
151,বার্গারের সাথে চিকেন ফ্রাই এর আইডিয়াটা বেশি ভালো লাগ্লো না এবং দামও বেশি।,"{food,  negative},  {price,   negative}",The idea of ​​chicken fries with a burger is not very good and the price is high.
152,মাটন চাপের মাংস অনেক বেশি শুকনা ছিলো এবং দামও তুলনামুলক বেশি ছিলো বাকি রেস্টুরেন্ট থেকে।,"{food,  negative},  {price,   negative}",The mutton pressure meat was very dry and the price was higher than other restaurants.
153,বাচ্চাদের জন্য কোন খাবার নেই মেন্যুতে কিন্তু যেসকল খাবার আছে সেগুলোর দাম কমই।,"{miscellaneous,   negative},  {price,   positive}",There are no children's meals on the menu but the ones that are available are reasonably priced.
154,খাবারের মানও বাজে এবং তার সাথে ওয়েটারদের ব্যবহারও বাজে।,"{food,  negative},  {service,   negative}",The quality of the food is bad and so is the behavior of the waiters.
155,গরুর চাপে তেল বেশি ছিলো কিন্তু দাম অন্যান্য জায়গা থেকে কম ছিলো।,"{food,  negative},  {price,   positive}",Oil was high on bull pressure but prices were lower than elsewhere.
156,আগুন পান খাইতে সেই এবং পুরো টাকা উসুল হয়েছে।,"{food,   positive},  {price,   positive}",That and the full amount has been recovered for the fire.
157,৫ তারকা হোটেলের চা খেয়ে মনে শান্তি আসলো না এবং শুধু শুধু ২০০০ টাকা দিতে হলো।,"{food,  negative},  {price,   negative}",I did not have peace of mind after having tea in a 5 star hotel and only had to pay 2000 Tk.
158,আমেরিকান বার্গারটা একদম সিম্পলের ভিতর গরজিয়াস এবং দামও রিসোনেবল।,"{food,   positive},  {price,   positive}",The American burger is simply gorgeous and reasonably priced.
159,বার্গারের বান এতো পাতলা হয়ে গেছে এবং দামও অনেক বেশি স্বাদের তুলনায়।,"{food,  negative},  {price,   negative}",The burger buns are so thin and the price is too high for the taste.
