review_en,review_cleaned,food,price,service,ambiance,miscellaneous,suspected_missing_aspect
the best restaurant and the service was the same,best restaurant service,0,0,1,0,1,ambiance
the shik kababs were very clean and the taste was crispy,shik kababs clean taste crispy,1,0,0,0,0,ambiance
i cannot believe that i can see bot items in the restaurant but the price is a bit high though,cannot believe see bot item restaurant price bit high though,1,1,0,0,0,ambiance
the quality of the food was very bad but the restaurant was very expensive,quality food bad restaurant expensive,1,1,0,0,0,ambiance
the reviews of the restaurant online were bad but i found the quality of the food to be good,review restaurant online bad found quality food good,1,0,0,0,1,ambiance
food prices here are very low and hence very good restaurant for bachelors,food price low hence good restaurant bachelor,0,1,0,0,1,ambiance
i have never experienced such harassment in any restaurant before and the quality of the food was not very good,never experienced harassment restaurant quality food good,1,0,1,0,0,ambiance
i came to this restaurant today and saw what is called good service but the price of everything was very high,came restaurant today saw called good service price everything high,0,1,1,0,0,ambiance
the rules of the restaurant were not very good and the behavior of the employees was also bad,rule restaurant good behavior employee also bad,0,0,1,0,1,ambiance
today the quality of food is acceptable but the price is very bad experience in this restaurant,today quality food acceptable price bad experience restaurant,1,1,0,0,0,ambiance
the price of the tacos is higher than the previous restaurant but they ate it because they paid less,price taco higher previous restaurant ate paid less,1,1,0,0,0,ambiance
if everything is good at the wifes favorite restaurant and especially if the price of the food there is low then what else do husbands need,everything good wife favorite restaurant especially price food low else husband need,0,1,0,0,1,ambiance
people should learn from this restaurant how to cheat people on food taste and price,people learn restaurant cheat people food taste price,1,1,0,0,0,ambiance
finally what i can say is that like kakali furniture the food in this restaurant is also low in price and good in quality,finally say like kakali furniture food restaurant also low price good quality,1,1,0,0,0,ambiance
the taste of the food is very bad and the service is full of twelve bells in the restaurant,taste food bad service full twelve bell restaurant,1,0,1,0,0,ambiance
home cooked food is better than this restaurant and you do not have to wait so long at home,home cooked food better restaurant wait long home,1,0,1,0,0,ambiance
this restaurant seems to put all the nearby restaurants out of business with its food taste and service,restaurant seems put nearby restaurant business food taste service,1,0,1,0,0,ambiance
very good food but the location of the restaurant should have been chosen better,good food location restaurant chosen better,1,0,0,0,1,ambiance
this restaurant is being cooked by foreign cooks and hence the price of the food is a bit high,restaurant cooked foreign cook hence price food bit high,0,1,0,0,1,ambiance
there is a separate staff to play with the kids in this restaurant and despite all the facilities the food here is reasonably priced,separate staff play kid restaurant despite facility food reasonably priced,0,1,1,0,0,ambiance
the restaurant is always full of customers because it is so conscious about food quality and customer satisfaction,restaurant always full customer conscious food quality customer satisfaction,1,0,1,0,0,ambiance
the food of this restaurant created a love for fish in my mind but the price is too high,food restaurant created love fish mind price high,1,1,0,0,0,ambiance
there are not many options on the menu which is what most customers dislike about this restaurant but the food they do have is very tasty,many option menu customer dislike restaurant food tasty,1,0,0,0,0,ambiance
if i am ashamed i will not come to this restaurant to experience such bad food and service again,ashamed come restaurant experience bad food service,1,0,1,0,0,ambiance
no matter how good the service is this restaurant has stolen a lot of food,matter good service restaurant stolen lot food,1,0,1,0,0,ambiance
there is no room to complain about the food quality and service of this restaurant,room complain food quality service restaurant,1,0,1,0,0,ambiance
they gave us welcome drinks as soon as we sat in the restaurant which i like very much and the rest of their service was also very good,gave u welcome drink soon sat restaurant like much rest service also good,1,0,1,0,0,ambiance
the smell of the food is tasteless and if i could i would take back the bill that i paid so much,smell food tasteless could would take back bill paid much,1,1,0,0,0,ambiance
the beef kebab of this restaurant is a must try item and their service quality and speed is very good,beef kebab restaurant must try item service quality speed good,1,0,1,0,0,ambiance
it was good to get the service in a very short time but the restaurant felt bad for the high price,good get service short time restaurant felt bad high price,0,1,1,0,0,ambiance
my home food is more fun than this restaurant and the prices are too expensive for me,home food fun restaurant price expensive,1,1,0,0,0,ambiance
from today it is my favorite restaurant because the service here is very bad and the price of everything is very high,today favorite restaurant service bad price everything high,0,1,1,0,0,ambiance
the service condition was very jose and the location of their restaurant was also very good,service condition jose location restaurant also good,0,0,1,0,1,ambiance
i was disappointed that the restaurant had so many rules but i enjoyed the food a lot,disappointed restaurant many rule enjoyed food lot,1,0,0,0,1,ambiance
i would recommend this restaurant for quick delivery and not too expensive,would recommend restaurant quick delivery expensive,0,1,1,0,0,ambiance
i have never seen a restaurant with such lax staff but everything else was good,never seen restaurant lax staff everything else good,0,0,1,0,1,ambiance
eating fish in this restaurant made me hate fish even more and i felt like paying such a high price,eating fish restaurant made hate fish even felt like paying high price,1,1,0,0,0,ambiance
from now on this restaurant is my favorite place because the staff are very friendly and their service is also fast,restaurant favorite place staff friendly service also fast,0,0,1,0,0,ambiance
this restaurant has a lot of reputation but the food does not say it,restaurant lot reputation food say,1,0,0,0,1,ambiance
the food was very good but the location of the shop is not good,food good location shop good,1,0,0,0,1,ambiance
the restaurant is located in a good area and the food is affordable,restaurant located good area food affordable,0,1,0,0,1,ambiance
this restaurant has no meat in the haleem and the price is higher than other restaurants,restaurant meat haleem price higher restaurant,1,1,0,0,0,ambiance
the jhalmuri in the restaurant tastes the same as in the akal shop but the price is higher,jhalmuri restaurant taste akal shop price higher,1,1,0,0,0,ambiance
the lemonade at this restaurant is very fresh and very cheap,lemonade restaurant fresh cheap,1,1,0,0,0,ambiance
the number of dishes in the buffet was very high but the price was less than what you would pay in a regular restaurant,number dish buffet high price less would pay regular restaurant,1,1,0,0,0,ambiance
the food in this restaurant is average but the staff is very good at providing great service,food restaurant average staff good providing great service,1,0,1,0,0,ambiance
i waited a long time for food at this restaurant but it was not as good as i expected,waited long time food restaurant good expected,1,0,1,0,0,ambiance
the use was good but the extra attention the kids had to pay made it worth it,use good extra attention kid pay made worth,0,0,1,0,0,ambiance
the management of the restaurant knows how to run it well the food comes as soon as the order is placed,management restaurant know run well food come soon order placed,0,0,1,0,0,ambiance
the food in this restaurant is good but the staff is not very efficient,food restaurant good staff efficient,1,0,1,0,0,ambiance
